Scrip Code,COMPANY,ISIN No.,Close Price
500228,JSW STEEL LTD.,INE019A01038,1029.1
500247,KOTAK MAHINDRA BANK LTD.,INE237A01028,2208
500510,LARSEN & TOUBRO LTD.,INE018A01030,3678.85
540005,LTIMindtree Limited,INE214T01019,5287.2
500257,LUPIN LTD.,INE326A01037,1936.9
500520,MAHINDRA & MAHINDRA LTD.,INE101A01026,3205.5
531642,MARICO LTD.,INE196A01026,731.05
532500,MARUTI SUZUKI INDIA LTD.,INE585B01010,12644.9
543220,Max Healthcare Institute Limit,INE027H01010,1277.45
500790,NESTLE INDIA LTD.,INE239A01024,2457.75
532555,NTPC LTD.,INE733E01010,337.95
500312,OIL AND NATURAL GAS CORPORATIO,INE213A01029,242.9
543390,PB Fintech Limited,INE417T01026,1823.7
533179,PERSISTENT SYSTEMS LTD.,INE262H01021,6015.4
500331,PIDILITE INDUSTRIES LTD.,INE318A01026,3052.5
532810,POWER FINANCE CORPORATION LTD.,INE134E01011,421.5
532898,POWER GRID CORPORATION OF INDI,INE752E01010,299.6
532461,PUNJAB NATIONAL BANK,INE160A01022,106.35
532955,REC LIMITED,INE020B01018,403.05
500325,RELIANCE INDUSTRIES LTD.,INE002A01018,1516.05
517334,Samvardhana Motherson Internat,INE775A01035,154.4
540719,SBI Life Insurance Company Lim,INE123W01016,1850.55
500387,SHREE CEMENT LTD.,INE070A01015,30999.55
511218,Shriram Finance Limited,INE721A01047,699.75
503806,SRF LTD.,INE647A01010,3169.55
500112,STATE BANK OF INDIA,INE062A01020,805.4
524715,SUN PHARMACEUTICAL INDUSTRIES,INE044A01036,1688
532667,SUZLON ENERGY LTD.,INE040H01021,67.3
532540,TATA CONSULTANCY SERVICES LTD.,INE467B01029,3443.15
500800,TATA CONSUMER PRODUCTS LIMITED,INE192A01025,1122.9
500570,TATA MOTORS LTD.,INE155A01022,686.7
500400,TATA POWER CO.LTD.,INE245A01021,408.8
500470,TATA STEEL LTD.,INE081A01020,161.4
532755,TECH MAHINDRA LTD.,INE669C01036,1675.1
500114,TITAN COMPANY LIMITED,INE280A01028,3665.1
500251,TRENT LTD.,INE849A01020,6018.2
540762,Tube Investments of India Ltd,INE974X01010,3080.5
532343,TVS MOTOR COMPANY LTD.,INE494B01023,2938.4
532538,ULTRATECH CEMENT LTD.,INE481G01011,12234.95
532432,UNITED SPIRITS LTD.,INE854D01024,1442.65
540180,Varun Beverages Limited,INE200M01039,461.8
500295,VEDANTA LIMITED,INE205A01025,464.05
507685,WIPRO LTD.,INE075A01022,265.05
532648,YES BANK LTD.,INE528G01035,20.19
